City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Bluff,NZ,2021-12-12 14:11:54,-46.6,168.3333,44.8,83,16,4.63
69,Tasiilaq,GL,2021-12-12 14:11:54,65.6145,-37.6368,33.96,91,100,11.43
70,Balkhash,KZ,2021-12-12 14:11:55,46.844,74.9804,28.04,94,100,3.58
71,Peace River,CA,2021-12-12 14:10:00,56.2501,-117.286,10.65,98,21,5.99
72,Upernavik,GL,2021-12-12 14:11:55,72.7868,-56.1549,5.68,91,100,9.24
73,Mahon,ES,2021-12-12 14:11:55,39.8885,4.2658,57.76,67,40,12.66
74,Nambucca Heads,AU,2021-12-12 14:11:56,-30.65,153.0,66.0,83,94,6.85
75,Jamestown,US,2021-12-12 14:11:56,42.097,-79.2353,36.99,85,90,14.0
76,Dikson,RU,2021-12-12 14:11:56,73.5069,80.5464,-21.21,97,30,8.37
77,New Norfolk,AU,2021-12-12 14:11:57,-42.7826,147.0587,53.1,69,3,1.39
78,Pitimbu,BR,2021-12-12 14:11:57,-7.4706,-34.8086,88.39,64,9,13.42
79,Lebu,CL,2021-12-12 14:11:57,-37.6167,-73.65,57.18,55,8,7.74
80,Portland,US,2021-12-12 14:09:07,45.5234,-122.6762,43.21,93,90,5.01
81,Andenes,NO,2021-12-12 14:11:58,69.3143,16.1194,34.07,93,75,6.91
82,Seminole,US,2021-12-12 14:09:34,28.7086,-81.2081,72.43,93,90,3.44
83,Kysyl-Syr,RU,2021-12-12 14:11:58,63.8986,122.7617,-37.1,100,61,4.18
84,Cayenne,GF,2021-12-12 14:11:58,4.9333,-52.3333,77.09,91,90,5.75
85,Mabaruma,GY,2021-12-12 14:11:59,8.2,-59.7833,74.26,99,100,3.6
86,Nouadhibou,MR,2021-12-12 14:11:59,20.931,-17.0347,69.85,52,100,8.52
87,Srednekolymsk,RU,2021-12-12 14:11:59,67.45,153.6833,-46.77,99,97,2.75
88,Talnakh,RU,2021-12-12 14:11:59,69.4865,88.3972,-25.8,85,100,2.33
89,Qaanaaq,GL,2021-12-12 14:12:00,77.484,-69.3632,0.61,66,98,1.68
90,Yazoo City,US,2021-12-12 14:12:00,32.8551,-90.4056,39.94,73,0,6.17
91,Kaitangata,NZ,2021-12-12 14:12:00,-46.2817,169.8464,45.93,93,99,3.83
