City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
63,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
65,Salalah,OM,77.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
68,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
71,Acarau,BR,87.71,overcast clouds,-2.8856,-40.12,castelo pizzaria
72,Kapaa,US,75.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
73,Namatanai,PG,79.32,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
76,Rio Verde De Mato Grosso,BR,81.19,moderate rain,-18.9181,-54.8442,Hotel Valência
77,Belmonte,BR,82.9,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
83,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
85,Moron,AR,81.01,overcast clouds,-34.6534,-58.6198,Hotel Morón
93,Touros,BR,88.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
94,Chimbote,PE,72.7,broken clouds,-9.0853,-78.5783,Hotel Viera Chimbote
97,Bengkulu,ID,75.61,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
99,Port Alfred,ZA,71.06,broken clouds,-33.5906,26.891,The Halyards Hotel
103,Mar Del Plata,AR,71.87,overcast clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
104,Atar,MR,81.28,broken clouds,20.5169,-13.0499,Oumou Elghoura
105,Hithadhoo,MV,81.14,overcast clouds,-0.6,73.0833,Scoop Guest House
108,Kirakira,SB,81.39,overcast clouds,-10.4544,161.9205,SanBiz Lodge
109,Hilo,US,75.27,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
111,Solwezi,ZM,71.29,broken clouds,-12.1688,26.3894,Country Lodge Solwezi
112,Necochea,AR,71.04,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
114,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
116,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,The Esplanade Hotel
117,Denpasar,ID,80.26,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
122,Sao Felix Do Xingu,BR,81.37,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
125,Viedma,AR,78.89,broken clouds,-40.8135,-62.9967,Hotel Cristal
133,Parati,BR,79.7,light rain,-23.2178,-44.7131,Che Lagarto Paraty
134,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
140,Mareeba,AU,74.12,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
141,Dingle,PH,75.34,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
142,Niquero,CU,85.32,clear sky,20.0431,-77.5828,Islazul Niquero
144,Natal,BR,88.45,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
146,Dhidhdhoo,MV,82.38,overcast clouds,6.8833,73.1,Dhidhoo beach
147,Kahului,US,74.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
156,Cabedelo,BR,86.67,clear sky,-6.9811,-34.8339,Hotel Pigalle
157,Praya,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
159,Kapoeta,SS,85.59,overcast clouds,4.7717,33.5903,Eastgate Hotel
162,Kitgum,UG,79.97,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
165,Karangampel,ID,81.41,overcast clouds,-6.4622,108.4519,ROOFTOP WAG ALL
166,Sambava,MG,76.59,broken clouds,-14.2667,50.1667,Melrose
172,Ipixuna,BR,82.35,overcast clouds,-1.7625,-48.8043,Casa da Oscarina
173,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
183,Isangel,VU,79.54,overcast clouds,-19.55,169.2667,Tanna Lodge
184,Vila Velha,BR,85.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
185,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
186,Chuy,UY,82.2,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
187,Cabo San Lucas,MX,78.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
189,Pemangkat,ID,78.4,overcast clouds,1.1667,108.9667,Ramah Kost KITA
190,Bindura,ZW,75.87,clear sky,-17.3019,31.3306,Mayfair Lodges and Restaurant
192,Faanui,PF,80.49,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
193,Pekan,MY,75.31,overcast clouds,3.4836,103.3996,Pekan Budget Hotel
195,Port-Gentil,GA,79.77,overcast clouds,-0.7193,8.7815,Fengshui Residence
201,Grao Mogol,BR,76.44,moderate rain,-16.5594,-42.8897,Pousada do Eti
205,Acapulco,MX,87.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
207,Lazaro Cardenas,MX,85.35,broken clouds,17.9583,-102.2,quinta antigua
219,Mahbubabad,IN,74.07,overcast clouds,17.6167,80.0167,Vedansh Residency
221,Yanam,IN,76.53,light rain,16.7333,82.2167,The Regency Hotel
222,Namibe,AO,71.89,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
227,Bouar,CF,74.66,broken clouds,5.934,15.596,Motel de l'UNITE
228,Lodwar,KE,86.11,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
229,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
232,Kieta,PG,80.55,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
234,Daru,PG,76.93,overcast clouds,-9.0763,143.2092,Daru Lodge
237,San Policarpo,PH,79.81,overcast clouds,12.1791,125.5072,Agapita M. Nicart
242,Upington,ZA,79.18,few clouds,-28.4478,21.2561,River Place Manor
245,Biak,ID,77.41,overcast clouds,-0.9131,122.8766,Penginapan Kim
247,Kavieng,PG,83.05,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
251,Maturin,VE,80.78,overcast clouds,9.75,-63.1767,Hotel Residencial La Pichincha
256,Arraial Do Cabo,BR,87.76,clear sky,-22.9661,-42.0278,Pousada Porto Praia
263,Kavaratti,IN,81.81,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
264,Nueva Helvecia,UY,74.75,light rain,-34.3,-57.2333,La Posada de Ofelia
272,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
275,Batticaloa,LK,79.3,light rain,7.7102,81.6924,Grand Star Guest House
276,Neiafu,TO,72.28,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
