City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Sitka,US,57.0531,-135.33,33.69,80,90,10.36,light snow
131,Erenhot,CN,43.6475,111.9767,15.58,60,0,15.12,clear sky
132,Ulundi,ZA,-28.3352,31.4162,69.62,87,100,1.52,light rain
133,Parati,BR,-23.2178,-44.7131,79.7,92,91,5.1,light rain
134,Bambous Virieux,MU,-20.3428,57.7575,79.05,69,40,11.5,scattered clouds
135,Roma,US,43.2128,-75.4557,44.89,47,1,1.99,clear sky
136,Tosya,TR,41.0155,34.0401,46.27,60,0,2.44,clear sky
137,Mount Isa,AU,-20.7333,139.5,64.17,32,0,3.44,clear sky
138,Zyryanovsk,KZ,49.7386,84.2719,12.47,90,100,0.72,overcast clouds
139,Casper,US,42.8666,-106.3131,42.51,46,1,34.52,clear sky
140,Mareeba,AU,-17.0,145.4333,74.12,95,63,2.26,broken clouds
141,Dingle,PH,10.9995,122.6711,75.34,93,79,7.96,broken clouds
142,Niquero,CU,20.0431,-77.5828,85.32,59,1,5.41,clear sky
143,Khatanga,RU,71.9667,102.5,-51.61,100,78,1.68,broken clouds
144,Natal,BR,-5.795,-35.2094,88.45,58,40,20.71,scattered clouds
145,Shimanovsk,RU,52.0,127.7,-3.08,82,4,7.45,clear sky
146,Dhidhdhoo,MV,6.8833,73.1,82.38,74,86,9.24,overcast clouds
147,Kahului,US,20.8947,-156.47,74.46,88,40,13.8,scattered clouds
148,Nelson Bay,AU,-32.7167,152.15,63.0,85,60,1.01,broken clouds
149,Karasuk,RU,53.7377,78.0403,-1.91,98,21,6.64,few clouds
150,Neryungri,RU,56.6709,124.6491,-34.82,96,60,1.77,broken clouds
151,Laguna,US,38.421,-121.4238,54.41,84,90,1.01,light rain
152,Pangnirtung,CA,66.1451,-65.7125,-2.2,71,40,6.91,scattered clouds
153,Mizdah,LY,31.4451,12.9801,46.62,59,2,7.0,clear sky
154,Zhob,PK,31.3411,69.4481,44.26,33,0,0.92,clear sky
155,Constitucion,CL,-35.3333,-72.4167,62.69,55,10,18.14,clear sky
156,Cabedelo,BR,-6.9811,-34.8339,86.67,65,1,13.15,clear sky
157,Praya,CV,14.9215,-23.5087,79.34,61,40,10.36,scattered clouds
158,Nanortalik,GL,60.1432,-45.2371,22.24,79,53,9.93,broken clouds
159,Kapoeta,SS,4.7717,33.5903,85.59,24,100,10.58,overcast clouds
160,Lalmohan,BD,22.3384,90.7419,67.08,55,0,9.57,clear sky
161,Pemberton,CA,50.3164,-122.8027,35.29,93,100,1.9,overcast clouds
162,Kitgum,UG,3.2783,32.8867,79.97,30,96,9.75,overcast clouds
163,Sydney,AU,-33.8679,151.2073,61.9,75,75,8.01,broken clouds
164,Luderitz,NA,-26.6481,15.1594,64.24,79,0,14.25,clear sky
165,Karangampel,ID,-6.4622,108.4519,81.41,78,100,0.56,overcast clouds
166,Sambava,MG,-14.2667,50.1667,76.59,84,78,8.1,broken clouds
167,Salta,AR,-24.7859,-65.4117,91.69,33,20,8.01,few clouds
168,Naryan-Mar,RU,67.6713,53.087,19.38,96,100,7.2,overcast clouds
169,Algiers,DZ,36.7525,3.042,51.62,76,20,2.3,few clouds
170,Korla,CN,41.7597,86.1469,19.53,72,43,2.39,scattered clouds
171,Maniitsoq,GL,65.4167,-52.9,17.85,71,47,5.77,scattered clouds
172,Ipixuna,BR,-1.7625,-48.8043,82.35,60,98,4.97,overcast clouds
173,Souillac,MU,-20.5167,57.5167,79.18,69,40,11.5,scattered clouds
174,Port Lincoln,AU,-34.7333,135.8667,60.98,77,82,16.2,broken clouds
175,Ulaangom,MN,49.9811,92.0667,-2.38,94,98,2.82,overcast clouds
176,Zhelyabovka,UA,45.3988,34.7578,49.37,76,100,11.9,overcast clouds
177,Babstovo,RU,48.1167,132.4833,4.23,84,97,13.2,overcast clouds
178,Riverton,US,40.5219,-111.9391,44.49,54,90,8.01,overcast clouds
179,Te Anau,NZ,-45.4167,167.7167,46.42,91,61,0.96,broken clouds
180,Ngorongoro,TZ,-3.2397,35.4875,56.8,79,88,5.77,overcast clouds
181,Vondrozo,MG,-22.8167,47.2833,67.8,89,4,3.87,clear sky
182,Pacific Grove,US,36.6177,-121.9166,55.51,63,90,1.01,overcast clouds
183,Isangel,VU,-19.55,169.2667,79.54,89,100,8.28,overcast clouds
184,Vila Velha,BR,-20.3297,-40.2925,85.95,76,40,15.99,scattered clouds
185,Cap Malheureux,MU,-19.9842,57.6142,79.29,69,100,3.0,overcast clouds
186,Chuy,UY,-33.6971,-53.4616,82.2,47,1,12.71,clear sky
187,Cabo San Lucas,MX,22.8909,-109.9124,78.51,66,20,3.0,few clouds
188,Tasiilaq,GL,65.6145,-37.6368,37.56,69,100,21.27,overcast clouds
